Pavll,valuell,Pavss,valuess,LL,SS,Delayweeks
pentagon.png,+ 2 Euro,circle.png,- 10 Euro,36.10,34.99,3
rombhus.png,+ 10 Euro,triangle.png,0 Euro,34.68,33.59,3
pentagon.png,+ 2 Euro,pentagon.png,+ 2 Euro,37.15,35.74,3
circle.png,- 10 Euro,square.png,- 2 Euro,32.90,30.37,3
rombhus.png,+ 10 Euro,circle.png,- 10 Euro,26.81,24.77,3
circle.png,- 10 Euro,pentagon.png,+ 2 Euro,37.74,33.93,3
square.png,- 2 Euro,rombhus.png,+ 10 Euro,39.44,34.87,3
triangle.png,0 Euro,rombhus.png,+ 10 Euro,33.82,29.42,3
triangle.png,0 Euro,circle.png,- 10 Euro,32.21,27.34,3
rombhus.png,+ 10 Euro,square.png,- 2 Euro,45.77,37.55,3
circle.png,- 10 Euro,circle.png,- 10 Euro,38.81,29.63,3
triangle.png,0 Euro,square.png,- 2 Euro,33.74,22.51,3
circle.png,- 10 Euro,triangle.png,0 Euro,62.07,36.89,3
pentagon.png,+ 2 Euro,triangle.png,0 Euro,24.44,23.42,4
triangle.png,0 Euro,pentagon.png,+ 2 Euro,29.82,28.56,4
rombhus.png,+ 10 Euro,rombhus.png,+ 10 Euro,36.00,33.49,4
square.png,- 2 Euro,pentagon.png,+ 2 Euro,25.58,23.51,4
pentagon.png,+ 2 Euro,square.png,- 2 Euro,24.59,21.95,4
pentagon.png,+ 2 Euro,rombhus.png,+ 10 Euro,28.19,24.91,4
square.png,- 2 Euro,circle.png,- 10 Euro,25.64,22.22,4
square.png,- 2 Euro,square.png,- 2 Euro,30.83,26.41,4
square.png,- 2 Euro,triangle.png,0 Euro,31.12,25.85,4
triangle.png,0 Euro,triangle.png,0 Euro,41.58,34.21,4
circle.png,- 10 Euro,rombhus.png,+ 10 Euro,36.97,28.14,4
rombhus.png,+ 10 Euro,pentagon.png,+ 2 Euro,34.42,22.87,4
rombhus.png,+ 10 Euro,rombhus.png,+ 10 Euro,62.13,36.64,4
circle.png,- 10 Euro,rombhus.png,+ 10 Euro,34.42,33.85,3
pentagon.png,+ 2 Euro,square.png,- 2 Euro,34.55,33.51,3
rombhus.png,+ 10 Euro,pentagon.png,+ 2 Euro,39.65,37.43,3
triangle.png,0 Euro,triangle.png,0 Euro,33.22,30.58,3
circle.png,- 10 Euro,pentagon.png,+ 2 Euro,29.39,26.51,3
rombhus.png,+ 10 Euro,circle.png,- 10 Euro,37.61,33.84,3
rombhus.png,+ 10 Euro,square.png,- 2 Euro,38.99,34.57,3
triangle.png,0 Euro,square.png,- 2 Euro,31.41,27.79,3
triangle.png,0 Euro,pentagon.png,+ 2 Euro,31.20,26.66,3
pentagon.png,+ 2 Euro,circle.png,- 10 Euro,46.88,38.30,3
square.png,- 2 Euro,circle.png,- 10 Euro,39.66,30.20,3
square.png,- 2 Euro,pentagon.png,+ 2 Euro,35.13,23.45,3
rombhus.png,+ 10 Euro,triangle.png,0 Euro,61.87,36.75,3
square.png,- 2 Euro,rombhus.png,+ 10 Euro,26.71,24.81,4
triangle.png,0 Euro,rombhus.png,+ 10 Euro,28.57,27.79,4
circle.png,- 10 Euro,triangle.png,0 Euro,36.29,33.66,4
pentagon.png,+ 2 Euro,rombhus.png,+ 10 Euro,27.80,24.87,4
square.png,- 2 Euro,square.png,- 2 Euro,24.65,21.98,4
pentagon.png,+ 2 Euro,triangle.png,0 Euro,28.02,24.80,4
circle.png,- 10 Euro,circle.png,- 10 Euro,23.11,20.68,4
pentagon.png,+ 2 Euro,pentagon.png,+ 2 Euro,28.41,24.93,4
circle.png,- 10 Euro,square.png,- 2 Euro,29.70,24.98,4
square.png,- 2 Euro,triangle.png,0 Euro,42.23,34.61,4
triangle.png,0 Euro,circle.png,- 10 Euro,38.42,29.03,4
